"MANHATTAN AVE FOOD MARKET","507 MANHATTAN AVE, NEW YORK, NY"
"FOODTOWN (PSK) #587","9105 3RD AVENUE, BROOKLYN, NY"
"HARLEM HOPS","2268 ADAM CLAYTON POWELL, NEW YORK, NY"
"BHL BREWING COMPANY LLC","2268 ADAM CLAYTON POWELL, NEW YORK, NY"
"ShopRite Wines and Spirtis of Bayonne, NJ","567-589 Avenue C, Bayonne, NJ 07002"
"THE HOP SHOPPE","372 VAN DUZER STREET, STATEN ISLAND, NY"
"BEER TOWN","135-26A CROSSBAY BLVD, OZONE PARK, NY 11417"
"ShopRite Wines and Spirits of Lyndhurst, NJ","540 New York Ave., Lyndhurst, NJ 07071"
"ShopRite Wines and Spirits of Wallington, NJ","375 Patterson Ave.
Suite C, Walligton, NJ 07057"
"ShopRite Wines and Spirits of Lodi, NJ","175 Main St., Lodi, NJ 07644"
"Total Wine - River Edge","1001 Main St., River Edge, NJ"
"Total Wine - Essex Green","495 Prospect Ave, West Orange, NJ"
"RICHMOND REPUBLIC","4459 AMBOY RD, STATEN ISLAND, NY"
"Holiday Beverage","4569 Amboy Rd, Staten Island, NY 10312"
"Beer and Beverage Depot","257 W Merrick Rd, Valley Stream, NY 11580"
"Total Wine - Union NJ","950 Springfield Rd, Union, NJ"
"Rockwells","105 Wolfs Ln, Pelham, NY"
"DeCicco & Sons - Pelham","43 Fifth Avenue, Pelham, NY 10803"
"Beverage Barn - Garden City Park","2280 Jericho Tpke, New Hyde Park, NY 11040"
"BEER NOGGIN","102 KRAFT AVE, BRONXVILLE , NY 10708"
"Maria's Restaurant","11 Huguenot St, New Rochelle, NY"
"CONNOLLY BEVERAGE","367 HEMPSTEAD TPKE, WEST HEMPSTEAD, NY"
"ShopRite Wines and Spirits of Emerson, NJ","425 Old Hook Rd., Emerson, NJ 07631"
"Beverage Mart","324 White Plains Rd, Eastchester, NY 10709"
"DeCicco & Sons - Larchmont","2141 Palmer Ave, Larchmont, NY 10538"
"Boro6 Wine Bar","549 Warburton Ave, Hastings-On-Hudson, NY 10706"
"Foodtown - Hastings-on-Hudson","87 Main St, Hastings On Hudson, NY"
"ShopRite Wines and Spirits of Hillsdale, NJ","371 Broadway, Hillsdale, NJ 07642"
"ShopRite Wines and Spirits of Northvale, NJ","254 Livingston St.
Suite F, Northvale, NJ"
"Baldwin Beverage","22 Grand Ave, Baldwin, NY 11510"
"Half Time","139 Hoyt Ave, Mamaroneck, NY 10543"
"DeCicco Family Market","58 E Parkway, Scarsdale, NY"
"Sedona Tap House","640 E Boston Post Rd, Mamaroneck, NY"
"Tomatillo - Dobbs Ferry","13 Cedar St, Dobbs Ferry, NY 10522"
"DeCicco & Sons - Ardsley","21 Center St, Ardsley, NY 10502"
"DeCicco & Sons - Harrison","7 Halstead Ave, Harrison, NY 10528"
"HARRISON BEVERAGE CENTER","53 HALSTEAD AVE, HARRISON, NY 10528"
"UNICO","8 10 N CENTRAL AVE, HARTSDALE, NY 10530"
"NY Marketplace & Brewery District","1230 Old Country Road, Westbury, NY"
"Rye Beverage","987 Boston Post Road, Rye, NY 10580"
"Hicksville Beer and Soda","70 Woodbury Rd, Hicksville, NY 11801"
"WHOLE FOODS PORT CHESTER","575 BOSTON POST RD, PORT CHESTER, NY 10573"
"WANTAGH BEVERAGE BARN","3341 BELTAGH AVE, WANTAGH, NY 11793"
"Donahue's","121 Lake St, West Harrison, NY 10604"
"SWEET GRASS GRILL","24 MAIN STREET, TARRYTOWN, NY 10591"
"GRASS ROOTS CAFE","124 WILDEY ST, TARRYTOWN, NY 10591"
"Captain Lawrence Brewing Company","444 N Saw Mill River Road, Elmsford, NY"
"BAREBURGER","399 S OYSTER BAY RD, PLAINVIEW, NY"
"Coals","35 N Main St, Port Chester, NY"
"Rye House","126 N Main St, Port Chester, NY"
"Port Chester Beer Distributors","315 North Main Street, Port Chester, NY 10573"
"ShopRite Wines and Spirits","20 Ridge Rd., Mahwah, NJ 07456"
"DOURO","253 GREENWICH AVENUE, GREENWICH, CT 06830"
"PUTNAM AND VINE","39 EAST ELM STREET, GREENWICH, CT"
"DE CICCO OF NEW CITY","180 S MAIN ST, NEW CITY, NY"
"WHOLE FOODS MARKET - GREENWICH ","90 EAST PUTNAM AVENUE, GREENWICH, CT"
"GREENWICH WINE & SPIRIT (NEW)","1155 EAST PPUTNAM AVENUE, RIVERSIDE, CT 06878"
"GREENWICH WINE ","1155 EAST PUTNAM AVENUE, RIVERSIDE, CT"
"OLD GREENWICH SOCIAL CLUB ","148 SOUND BEACH AVENUE, OLD GREENWICH, CT"
"SAM'S PACKAGE","230 SOUNDBEACH AVENUE, OLD GREENWICH, CT"
"DeCicco & Sons - Armonk","17 Maple Ave, Armonk, NY 10504"
"LABELLA S FINE WINE & SPIRITS","340 PALMER HILL ROAD, RIVERSIDE, CT 06878"
"Half Full Brewery","43 Homestead Ave, Stamford, CT 06902"
"CRAB SHELL","46 SOUTHFIELD AVENUE, STAMFORD, CT"
"Some Guy’s Beer & Soda","82 Sunrise Hwy, Lindenhurst , NY 11757"
"HARBOR POINT WINES & SPIRITS","130 WASHINGTON BLVD, STAMFORD, CT"
"CAFE JOSE' RESTAURANT ","217 ATLANTIC STREET, STAMFORD, CT"
"The Green Growler ","4 Croton Point Ave, Croton-on-Hudson , NY 10520"
"RIDGEWAY BEVERAGES - BEVMAX ","2202 BEDFORD STREET, STAMFORD, CT"
"WAREHOUSE LIQUOR - BEVMAX ","835 EAST MAIN STREET, STAMFORD, CT"
"DeCicco & Sons - Millwood","230 Saw Mill River Rd, Millwood, NY 10546"
"STUDY FINE WINE & SPIRITS","1071 NORTH STREET, GREENWICH, CT 06831"
"BEVERAGE BARN","1232 EAST MAIN STREET, STAMFORD, CT"
"United Beer Discount","18 Bedford-Banksville Rd, Bedford, NY 10506"
"WAGON WHEEL ","1051 LONG RIDGE ROAD, STAMFORD, CT"
"LIBERTY BEER","33 N LIBERTY DR, STONY POINT, NY"
"GLEN LIQUOR ","370 HEIGHTS ROAD, DARIEN, CT"
"Roost Darien","1950 Post Rd, Darien, Darien, CT 06820"
"PALMER'S MARKET","264 HEIGHTS ROAD, DARIEN, CT"
"TRADER JOES #529 ","1041 HIGH RIDGE ROAD, STAMFORD, CT"
"LEARY'S LIQUOR CABINET ","186 HEIGHTS ROAD, DARIEN, CT"
"COST LESS WINES & LIQUORS ","1073 HIGH RIDGE ROAD, STAMFORD, CT"
"LAROCCAS COUNTY MARKET ","105 OLD LONG RIDGE ROAD, STAMFORD, CT"
"WHOLE FOODS MARKET - DARIEN ","150 LEDGE ROAD, DARIEN, CT"
"Stop and Shop","Goodwives Shopping Center, 25 Old Kings Hwy N, Darien, CT  06820"
"STOP & SHOP #2610","25 OLD KINGS HIGHWAY NORTH, DARIEN, CT 06820"
"WINE PORTS OF DARIEN","25 OLD KINGS HGWY NORTH, DARIEN, CT 06820"
"WOODWAY COUNTRY CLUB","540 HOYT STREET, DARIEN, CT"
"ROWAYTON WINE SHOP ","158 ROWAYTON AVENUE, ROWAYTON, CT"
"WHITE BRIDGE LIQUOR ","284 TOKENEKE ROAD, DARIEN, CT"
"DARIEN COUNTRY CLUB","300 MANSFIELD AVENUE, DARIEN, CT"
"FRIENDLY BEER & SODA DISTRIBUTORS","156 WINDERMERE AVE, GREENWOOD LAKE, NY"
"BREW & CO.","532 BEDFORD ROAD, BEDFORD HILLS, NY 10507"
"AL'S WAREHOUSE #1 ","617 CONNECTICUT AVENUE, NORWALK, CT"
"WINE & BEYOND AT NORWALK ","360 CONNECTICUT AVENUE, NORWALK, CT"
"NEW CANAAN WINE MERCHANTS ","36 PINE STREET, NEW CANAAN, CT"
"STEWART'S SPIRITS ","215 ELM STREET, NEW CANAAN, CT"
"RED GRAPE (THE) ","12 BURTIS AVENUE, NEW CANAAN, CT"
"GATES ","10 FOREST STREET, NEW CANAAN, CT"
"Birdsall House","970 Main St, Peekskill, NY"
"SOUTH NORWALK BOAT CLUB","17 MACK STREET, SOUTH NORWALK, CT 06854"
"LOCAL KITCHEN & BEER BAR -NWLK ","68 WASHINGTON STREET, NORWALK, CT"
"BANNER WINE & LIQUOR","66 NORTH MAIN STREET, SOUTH NORWALK, CT"
"Decatur Beverage World","1719 Main St, Peekskill, NY"
"The Market at Pound Ridge","55 Westchester Ave, Pound Ridge, NY 10576"
"SHORE & COUNTRY CLUB","220 GREGORY BLVD, NORWALK, CT 06855"
"SUNSET GRILLE","52 CALF PASTURE BEACH ROAD, NORWALK, CT 06855"
"NINETY 9 BOTTLES - NORWALK","209 LIBERTY SQUARE, NORWALK, CT 06855"
"KNOT NORMS CATERING CO ","10 1ST STREET, NORWALK, CT"
"HARBOR HARVEST","7 COVE AVENUE, NORWALK, CT"
"PENNINGS FARM MARKET","161 ROUTE 94S, WARWICK, NY"
"FAT CAT PIE COMPANY","9-11 WALL STREET, NORWALK, CT"
"WORLD OF BEVERAGES ","295 MAIN AVENUE, NORWALK, CT"
"STEINMANN DELI","2712 GOMER ST, YORKTOWN HEIGHTS, NY 10598"
"STEW LEONARDS - NORWALK ","55 WESTPORT AVENUE, NORWALK, CT"
"Beverage Plus II","17 South St, Warwick, NY"
"VILLAGE BILLIARDS","17 MAIN ST 3RD FL, WARWICK, NY 10990"
"TOTAL WINE & MORE - NORWALK ","380 MAIN AVENUE, NORWALK, CT"
"Fetch","48 Main Street, Warwick, NY"
"BAIRDS TAVERN","103 MAIN ST, WARWICK, NY 10990"
"NORWALK LIQUOR STORE - BEVMAX ","149 WESTPORT AVENUE, NORWALK, CT"
"Vista Beer & Beverage","220 Oakridge Dr, South Salem, NY 10590"
"Hops Craft Beer Burger","400 State Route 17M, Monroe, NY"
"Al's Warehouse","570 Main Ave, Norwalk, CT"
"WHOLE FOODS MARKET - WESTPORT ","399 POST ROAD WEST, WESTPORT, CT"
"BLACK DUCK RESTAURANT","605 RIVERSIDE AVENUE, WESTPORT, CT"
"WHELK (THE) ","575 RIVERSIDE AVENUE, WESTPORT, CT"
"CRAFT KITCHEN ","580 RIVERSIDE AVENUE, WESTPORT, CT"
"DUNVILLE RESTAURANT ","41 SAUGATUCK AVENUE, WESTPORT, CT"
"TAP AND BARREL","558 SMITHTOWN BYPASS, SMITHTOWN, NY"
"RIZZUTO S WOOD FIRED KITCHEN","540 RIVERSIDE AVENUE, WESTPORT, CT 06880"
"NINETY 9 BOTTLES - WESTPORT ","9 BRIDGE SQUARE, WESTPORT, CT"
"KAWA NI","19 BRIDGE SQUARE, WESTPORT, CT"
"CRANBURY WINES & LIQUORS ","24 CHESTNUT HILL ROAD, NORWALK, CT"
"BLACK BEAR WINE & SPIRITS ","221 POST ROAD WEST, WESTPORT, CT"
"ANCONA'S WINE  - WILTON ","5 RIVER ROAD, WILTON, CT"
"TOWN HALL DBA JESUP HALL ","90 POST ROAD EAST, WESTPORT, CT"
"LIQUOR LOCKER ","411 POST ROAD EAST, WESTPORT, CT"
"GRAPEVINE AT KING S CORNER","345 MAIN STREET, WESTPORT, CT 06880"
"WACCABUC COUNTRY CLUB","90 MEAD STREET, WACCABUC, NY 10597"
"DE CICCO OF SOMERS","266 ROUTE 202, SOMERS, NY"
"WESTPORT WINE & SPIRIT ","877 POST ROAD EAST, WESTPORT, CT"
"St James Beverage","530 N Country Rd, St James, NY 11780"
"SILVER SPRING COUNTRY CLUB","439 SILVER SPRING ROAD, RIDGEFIELD, CT"
"GREEN FARMS SPIRIT ","1250 POST ROAD, WESTPORT, CT"
"GREENS FARMS SPIRIT SHOP ","1250 POST ROAD EAST, WESTPORT, CT"
"CASTLE WINE & SPIRITS ","1439 POST ROAD EAST, WESTPORT, CT"
"PETER S SPIRIT SHOP","190 WESTON ROAD, WESTON, CT 06883"
"KINDRED SPIRITS & WINE - WSPT ","1790 POST ROAD EAST, WESTPORT, CT"
"FAIRFIELD HUNT CLUB ","174 LONG LOTS ROAD, WESTPORT, CT"
"ANCONA'S WINE UPTOWN - RDFD","17B GOVERNOR STREET, RIDGEFIELD, CT"
"PEQUOT LIQUOR","3430 POST ROAD, SOUTHPORT, CT 06890"
"BAILEY S BACKYARD","23 BAILEY AVENUE, RIDGEFIELD, CT 06877"
"TEQUILA ESCAPE KITCHEN & BAR ","439 MAIN STREET, RIDGEFIELD, CT"
"CELLAR XV","88 DANBURY ROAD, RIDGEFIELD, CT 06877"
"MILESTONE","2 MAIN STREET, REDDING, CT"
"RIDGEFIELD LIQUOR","125 DANBURY ROAD, RIDGEFIELD, CT 06877"
"ANCONA'S WINE & LIQUOR - RDFD ","720 BRANCHVILLE ROAD, RIDGEFIELD, CT"
"Sayville Beer & Soda","100 Railroad Ave, Sayville, NY 11782"
"HARRY'S WINE & LIQUOR ","2094 POST ROAD, FAIRFIELD, CT"
"LOCAL KITCHEN & BEER BAR - FF ","85 MILL PLAIN ROAD, FAIRFIELD, CT"
"PATTERSON COUNTRY CLUB","1118 CROSS HIGHWAY, FAIRFIELD, CT 06824"
"AVELLINO'S PIZZA & PASTA","1813 POST ROAD, FAIRFIELD, CT"
"GREENFIELD HILL WINES & SPIRIT ","65 HILLSIDE ROAD, FAIRFIELD, CT"
"FAIRFIELD THEATRE COMPANY","70 SANFORD STREET, FAIRFIELD, CT 06825"
"FTC Stage One","70 Sanford St, Fairfield, CT  06824"
"CATHRYN'S TUSCAN GRILL","91 MAIN ST, COLD SPRING, NY"
"THAT S THE SPIRIT","740 FARIFIELD BEACH ROAD, FAIRFIELD, CT 08624"
"THE CHELSEA","12 UNQUOWA PLACE, FAIRFIELD, CT 06824"
"MO'S WINE & SPIRIT ","953 POST ROAD, FAIRFIELD, CT"
"FAIRFIELD WINE & SPIRITS ","561 POST ROAD, FAIRFIELD, CT"
"ASPETUCK VALLEY COUNTRY CLUB","67 OLD REDDING ROAD, WESTON, CT"
"THE CASTLE ON POST ","222 POST ROAD, FAIRFIELD, CT"
"Newport Beverage","7 Depot St, Washingtonville, NY"
"RT 7 WINES & LIQUOR","971 E ETHAN ALLEN HWY, RIDGEFIELD, CT"
"WHOLE FOODS MARKET - FAIRFIELD ","350 GRASMERE AVENUE, FAIRFIELD, CT"
"BLIND RHINO (THE) - BPT","3425 FAIRFIELD AVENUE, BRIDGEPORT, CT 06605"
"FORZA RISTORANTE - TRU NORTH","3171 FAIRFIELD AVENUE, BRIDGEPORT, CT 06605"
"Beer World Goshen","151 Greenwich Avenue, Goshen, NY"
"AL'S WAREHOUSE #3 ","1201 KINGS HWY, FAIRFIELD, CT"
"ACOUSTIC CAFE ","2926 FAIRFIELD AVENUE, BRIDGEPORT, CT"
"WALRUS & CARPENTER ","2895 FAIRFIELD AVENUE, BRIDGEPORT, CT"
"KINDRED SPIRITS & WINE OF FF","2480 BLACK ROCK TURNPIKE, FAIRFIELD, CT 06825"
"TRADER JOES","2258 BLACK ROCK TNPK, FAIRFIELD, CT"
"OLD DOG TAVERN (THE) ","1920 BLACK ROCK TPKE, FAIRFIELD, CT"
"TURNPIKE SPIRIT SHOP ","1838 BLACK ROCK TURNPIKE, FAIRFIELD, CT"
"BRENNAN'S SHEBEEN IRISH BAR ","2652 FAIRFIELD AVENUE, BRIDGEPORT, CT"
"LITTLE GOOSE CAFE ","397 COMMERCE DRIVE, FAIRFIELD, CT"
"WINE ZONE ","4180 BLACK ROCK TPKE, FAIRFIELD, CT"
"SUPER DISCOUNT WINE & SPIRITS ","525 TUNXIS HILL CUT OFF, FAIRFIELD, CT"
"WINE RACK (THE) ","575 KINGS HIGHWAY EAST, FAIRFIELD, CT"
"Port Jefferson Beverage Center","5 Railroad Ave, Port Jefferson Station, NY 11776"
"BROOKLAWN COUNTRY CLUB ","500 ALGONQUIN ROAD, FAIRFIELD, CT"
"Beer World - New Windsor","323 Windsor Hwy, New Windsor, NY"
"STRATFIELD WINE & LIQUOR","1238 STRATFIELD ROAD, FAIRFIELD, CT 06825"
"Swiftway Beverage","1602 NY-112, Medford, NY 11763"
"DeCicco & Sons - Brewster","50 Independent Way, Brewster, NY 10509"
"BREWPORT ","225 SOUTH FRONTAGE ROAD, BRIDGEPORT, CT"
"BEVMAX - DANBURY SQUARE W & L ","20 BACKUS AVENUE, DANBURY, CT"
"STRESS FACTORY COMEDY CLUB","167 STATE STREET  #177, BRIDGEPORT, CT 06604"
"WAREHOUSE WINE & LIQUOR DNBY ","115 MILL PLAIN ROAD, DANBURY, CT"
"Carmel Beverage Center","323 Route 52, Carmel, NY"
"CARALUZZI'S WINE & SPIRITS DBY ","19A SUGAR HOLLOW ROAD, DANBURY, CT"
"BOCA MEDITERRANEAN BAR","10 EAST MAIN STREET, BRIDGEPORT, CT 06608"
"WHOLE FOODS MARKET - DANBURY","5C SUGAR HALLOW ROAD, DANBURY, CT 06810"
"SQUARE ONE BAR & GRILL","24 MILL PLAIN ROAD, DANBURY, CT"
"MARKET PLACE - DANBURY ","33 MILL PLAIN ROAD, DANBURY, CT"
"BROOKSIDE DISCOUNT WINE ","4575 MAIN STREET, BRIDGEPORT, CT"
"NINETY 9 BOTTLES - TRUMBULL ","4244 MADISON AVENUE, TRUMBULL, CT"
"NEW IN TOWN GROCERY & DELI","1218 EAST MAIN STREET, BRIDGEPORT, CT"
"Athletic Brewing Company","350 Long Beach Blvd, Stratford, CT 6615"
"Yardley Beer Company","1 E Trenton Ave, Morristown, PA 19067"
"North Shore Beverage ","1028 Route 25A, Mount Sinai , NY"
"CARALUZZI'S WINE & SPIRITS ","279 GREENWOOD AVENUE, BETHEL, CT"
"CENTRAL PACKAGE ","211 GREENWOOD AVENUE, BETHEL, CT"
"CARALUZZI'S WINE & SPIRITS ","281 GREENWOOD AVENUE, BETHEL, CT"
"Beacon Craft Beer Shoppe","262 Main St, Beacon, NY 12508"
"LA ZINGARA ","8 PT BARNUM SQUARE, BETHEL, CT"
"BETHEL FOOD MARKET ","98 GREENWOOD AVENUE, BETHEL, CT"
"The Beer King","389 Route 211E, Middletown, NY"
"LORDSHIP WINE & LIQUOR ","60 ACCESS ROAD, STARTFORD, CT"
"GULLIVER'S WINE & LIQUOR","423 MAIN STREET, DANBURY, CT"
"TWO ROADS BREWING COMPANY","1700 STRATFORD AVENUE, STRATFORD, CT"
"STANZIALE'S RESTAURANT","595 MAIN STREET, STRATFORD, CT"
"TRUMBULL LIQUOR CENTER ","904 WHITE PLAINS ROAD, TRUMBULL, CT"
"T.K.'S AMERICAN CAFE ","255 WHITE STREET, DANBURY, CT"
"NORTHRIDGE WINE & LIQUORS ","5 PADANARUM ROAD, DANBURY, CT"
"G & G LIQUORS ","6528 MAIN STREET, TRUMBULL, CT"
"OLE DOG TAVERN","2505 MAIN STREET, STRATFORD, CT"
"PARTY BEVERAGE","71 N PLANK RD, NEWBURGH, NY 12550"
"AL'S WAREHOUSE #4 - TRUMBULL ","51 MONROE TPKE, TRUMBULL, CT"
"STRATFORD SPIRIT SHOP","200 FERRY BLVD., STRATFORD, CT"
"BEER WORLD VIII NEWBURGH","217 S PLANK RD, NEWBURGH, NY"
"WAREHOUSE WINE & SPIRIT MONROE ","246 MAIN STREET, MONROE, CT"
"Fishkill Beer & Soda","985 Main St, Fishkill, NY"
"PARADISE PIZZA ","3610 MAIN STREET, STRATFORD, CT"
"KINDRED SPIRITS & WINE -MONROE ","450 MAIN STREET, MONROE, CT"
"SITTING DUCK TAVERN -STRATFORD","3694 MAIN STREET, STRATFORD, CT"
"WINDSOR PACKAGE STORE ","3700 MAIN STREET, STRATFORD, CT"
"TOWN LINE LIQUORS ","345 HAWLEY LANE, STRATFORD, CT"
"Trenton Road Takeout","1024 Trenton Rd, Fallsington, PA"
"BEVMAX -WINE LIQUOR SUPERSTORE ","200 EAST MAIN STREET, STRATFORD, CT"
"Circle M Beverage - Rocky Point ","650 NY-25A, Rocky Point, NY 11778"
"STILL RIVER GRILL & BAR","128 BRIDGEPORT AVENUE, MILFORD, CT"
"WINE WORLD OF BETHEL","6 STONY HILL ROAD, BETHEL, CT"
"LIBERTY ROCK TAVERN","229 BRIDGEPORT AVENUE, MILFORD, CT"
"VILLAGE WINE SHOPPE (THE) ","324 NAUGATUCK AVENUE, MILFORD, CT"
"STEW LEONARDS - DANBURY ","2 NABBY ROAD, DANBURY, CT"
"WIDOW BROWN S CAFE","128 FEDERAL ROAD, DANBURY, CT 06811"
"STONY HILL WINE & SPIRITS","83B STONY HILL ROAD, BETHEL, CT"
"GLEN RO SPIRIT SHOPPE - MONROE ","487 MONROE TPKE, MONROE, CT"
"FAIRWAY LIQUOR MART ","597 BRIDGEPORT AVENUE, MILFORD, CT"
"TAUNTON WINE & LIQUOR ","147 MOUNT PLEASANT ROAD, NEWTOWN, CT"
"SPORTS CAFE 189","189 FEDERAL ROAD, BROOKFIELD, CT"
"MAGGIE MCFLY S - BROOKFIELD","195 FEDERAL ROAD, BROOKFIELD, CT 06804"
"CORK N' BARREL","266 SOUTH MAIN STREET, NEWTOWN, CT"
"SUPER SAVER SPIRIT","864 BRIDGEPORT AVENUE, SHELTON, CT"
"WOODLAND WINE & SPIRITS","853 BRIDGEPORT AVENUE, MILFORD, CT 06460"
"FAIRGROUNDS W & S - NEWTOWN","228 SOUTH MAIN STREET, NEWTOWN, CT 06470"
"LIGHTHOUSE LIQUOR LOCKER","88 RYDER LANE, STRATFORD, CT"
"CRUSH SPORTS CAFE ","1015 BRIDGEPORT AVENUE, MILFORD, CT"
"WINES AND MORE - MILFORD ","232 BOSTON POST ROAD, MILFORD, CT"
"SAM'S LIQUOR ","7365 MAIN STREET, STRATFORD, CT"
"BAR 3 THIRTY-THREE ","333 BOSTON POST ROAD, MILFORD, CT"
"NEWTOWN COUNTRY CLUB","2 COUNTRY CLUB ROAD, NEWTOWN, CT"
"HUNTINGTON PACKAGE STORE","54 HUNTINGTON PLAZA, SHELTON, CT"
"WINE EMPORIUM","702 BRIDGEPORT AVENUE, SHELTON, CT"
"GLEN RO SPIRIT SHOPPE -SHELTON ","528 SHELTON AVENUE, SHELTON, CT"
"FORT TRUMBULL WINES & LIQUOR","1064 EAST BROADWAY, MILFORD, CT 06460"
"SPOTTED HORSE ","100 COMMERCE DRIVE, SHELTON, CT"
"Hopewell Oasis Beer & Soda","645 Route 82, Hopewell Junction, NY"
"BOTTLE STOP WINE & SPIRIT","5 QUEEN STREET, NEWTOWN, CT"
"MARKET PLACE - NEWTOWN","32 CHURCH HILL ROAD, NEWTOWN, CT 06470"
"J D'S WINES & SPIRITS","781 RIVER ROAD, SHELTON, CT"
"MILFORD WINE & LIQUOR","149 WELCHES POINT ROAD, MILFORD, CT"
"Cold Spring Beverages","773 Durham R, Newtown, PA 18940"
"PARKER","762 RIVER ROAD, SHELTON, CT"
"PAWLING BEER & SODA CORP","175 ROUTE 22, PAWLING, NY 12564"
"FRATELLI S","248 NEW HAVEN AVENUE, MILFORD, CT 06460"
"WINE & SPIRITS COMPANY INC ","175 CHERRY STREET, MILFORD, CT"
"TOTAL WINE & MORE - MILFORD ","230 CHERRY STREET, MILFORD, CT"
"LIQUOR CONNECTION ","930 BOSTON POST ROAD, MILFORD, CT"
"KINDRED SPIRITS & WINE-SHELTON","405 BRIDGEPORT AVENUE, SHELTON, CT"
